,count,mean,std,min,25%,50%,75%,max
historical_var_return_500,981.0,0.04888432785672414,0.004301236074376916,0.03945229648018707,0.04577598985713761,0.04867630831773842,0.05229228447681984,0.05966230898115809
bootstrap_ci_lower_return_500,981.0,0.04284730611734543,0.004384373546401782,0.032254700774773416,0.038767108135222064,0.043683921884886755,0.045656179150873874,0.050690920983171114
bootstrap_ci_upper_return_500,981.0,0.054633673159552774,0.004681442431130221,0.045548989583119905,0.050730208353184994,0.05409984896909452,0.05868928051472003,0.06808907023749826
historical_var_dollar_500,981.0,781528.2083145236,239649.16230964882,350405.76376135467,581918.6947382968,790844.2365938006,954273.406987078,1331422.6596049143
bootstrap_ci_lower_dollar_500,981.0,679730.3046084605,195038.67902350766,321918.51472656016,518848.6982290223,687922.5248378945,833125.9756753132,1108331.5638060702
bootstrap_ci_upper_dollar_500,981.0,874207.7193304863,266594.24251879455,396793.1343240246,633894.3767494238,898715.0785642494,1103237.6972574478,1452594.694857916
