,count,mean,std,min,25%,50%,75%,max
marginal_var_GME,981.0,-0.005291677377340359,0.03557285621397557,-0.1356224031182858,-0.02599949883901609,-0.00907725541344842,0.012532580440448304,0.15923332002821047
marginal_var_DKS,981.0,-0.02907558276710209,0.019592945778568596,-0.07925223320165986,-0.042616819466880645,-0.029878165629220604,-0.01843781295211705,0.15431848699967998
var_change_1pct_dollar_GME,981.0,-1331.6175379249016,6629.896634183609,-32949.4235192039,-4935.000825083063,-1175.1645198888812,1635.0549214239782,35468.62062510939
var_change_1pct_dollar_DKS,981.0,-4959.953784171447,3740.5401854501547,-15270.259313212018,-7770.3812617989815,-5114.970934782218,-2247.9205478441263,24449.24738809332
