Date,GME,ROKU,DKS,BBWI,DKNG,CVNA,RH,W,DDS,BB
2020-06-01,1.0325000286102295,112.94999694824219,30.407636642456055,11.723114013671875,43.70000076293945,18.3700008392334,212.57000732421875,167.1199951171875,22.28971290588379,4.920000076293945
2020-06-02,1.0449999570846558,110.81999969482422,31.525197982788086,11.907391548156738,41.27000045776367,21.823999404907227,248.25999450683594,188.6300048828125,24.117246627807617,5.360000133514404
2020-06-03,1.1100000143051147,103.95999908447266,30.641162872314453,12.977639198303223,40.15999984741211,21.47800064086914,255.25999450683594,181.61000061035156,26.0212345123291,5.210000038146973
2020-06-04,1.1174999475479126,102.93000030517578,30.732898712158203,12.651605606079102,40.529998779296875,20.399999618530273,248.41000366210938,177.55999755859375,25.63890838623047,5.230000019073486
2020-06-05,1.034999966621399,104.37999725341797,32.058963775634766,13.239887237548828,39.34000015258789,23.173999786376953,246.2100067138672,170.75999450683594,28.208148956298828,5.46999979019165
2020-06-08,1.252500057220459,112.94999694824219,32.83458709716797,13.686413764953613,38.0,22.72800064086914,253.9199981689453,175.99000549316406,28.666946411132812,5.789999961853027
2020-06-09,1.2400000095367432,113.25,32.71782302856445,12.793359756469727,39.40999984741211,22.709999084472656,252.00999450683594,172.42999267578125,26.71706771850586,5.610000133514404
2020-06-10,1.2675000429153442,113.80000305175781,31.70869255065918,12.375182151794434,39.11000061035156,23.760000228881836,244.5399932861328,182.3800048828125,24.04842758178711,5.570000171661377
2020-06-11,1.0924999713897705,106.94999694824219,30.165781021118164,10.971809387207031,36.279998779296875,21.45199966430664,229.6199951171875,178.6999969482422,20.898040771484375,5.03000020980835
2020-06-12,1.1799999475479126,108.06999969482422,32.86794662475586,11.092302322387695,36.880001068115234,22.242000579833984,235.82000732421875,184.75999450683594,22.855560302734375,5.25
2020-06-15,1.1725000143051147,107.48999786376953,32.6010627746582,11.000164031982422,41.790000915527344,22.86400032043457,245.8000030517578,193.19000244140625,20.569232940673828,4.989999771118164
2020-06-16,1.159999966621399,120.80999755859375,33.83537673950195,11.439600944519043,40.56999969482422,23.606000900268555,254.89999389648438,191.9600067138672,22.396766662597656,5.21999979019165
2020-06-17,1.190000057220459,117.31999969482422,34.202335357666016,10.957637786865234,40.720001220703125,23.79199981689453,251.82000732421875,202.8699951171875,21.028034210205078,5.099999904632568
2020-06-18,1.2374999523162842,127.79000091552734,34.21068572998047,11.071039199829102,40.84000015258789,24.59600067138672,254.25999450683594,200.64999389648438,21.050975799560547,5.079999923706055
2020-06-19,1.2200000286102295,128.5,33.11225891113281,10.263040542602539,42.0,25.224000930786133,250.1199951171875,209.99000549316406,20.141033172607422,5.059999942779541
2020-06-22,1.2174999713897705,129.77999877929688,34.74266052246094,10.38353157043457,38.255001068115234,25.47800064086914,254.3000030517578,208.05999755859375,19.858112335205078,5.119999885559082
2020-06-23,1.2074999809265137,127.87999725341797,34.82670974731445,10.411883354187012,37.9900016784668,25.52199935913086,255.11000061035156,207.52999877929688,19.81987953186035,5.099999904632568
2020-06-24,1.1024999618530273,123.3499984741211,34.38969039916992,9.823598861694336,37.560001373291016,22.450000762939453,249.72000122070312,200.7100067138672,19.437551498413086,4.920000076293945
2020-06-25,1.1150000095367432,123.5999984741211,33.97789001464844,10.014970779418945,36.06999969482422,23.43199920654297,254.25,205.1199951171875,18.994049072265625,4.849999904632568
2020-06-26,1.087499976158142,122.55000305175781,33.3727912902832,9.823598861694336,33.34000015258789,23.48200035095215,254.24000549316406,201.94000244140625,18.734066009521484,4.71999979019165
2020-06-29,1.0950000286102295,115.05000305175781,34.91914749145508,10.716652870178223,33.540000915527344,24.073999404907227,252.94000244140625,200.22999572753906,20.118927001953125,4.800000190734863
2020-06-30,1.0850000381469727,116.52999877929688,34.67543029785156,10.610339164733887,33.2599983215332,24.040000915527344,248.89999389648438,197.61000061035156,19.841949462890625,4.889999866485596
2020-07-01,1.1100000143051147,128.38999938964844,34.12916564941406,10.702478408813477,33.869998931884766,25.076000213623047,259.6600036621094,219.19000244140625,19.11875343322754,4.78000020980835
2020-07-02,1.0724999904632568,128.64999389648438,34.255218505859375,10.709564208984375,33.060001373291016,25.70599937438965,255.3300018310547,214.10000610351562,18.780229568481445,4.849999904632568
2020-07-06,1.059999942779541,132.02999877929688,34.364479064941406,11.071039199829102,32.41999816894531,26.88800048828125,259.29998779296875,221.44000244140625,18.68021011352539,5.019999980926514
2020-07-07,1.0225000381469727,130.4199981689453,33.44842529296875,10.737916946411133,30.600000381469727,26.621999740600586,257.5299987792969,225.49000549316406,18.010862350463867,4.800000190734863
2020-07-08,1.065000057220459,133.75999450683594,33.86863708496094,11.106478691101074,33.099998474121094,27.784000396728516,265.3399963378906,221.47999572753906,18.787925720214844,4.840000152587891
2020-07-09,1.0525000095367432,149.69000244140625,32.582801818847656,11.000164031982422,32.81999969482422,27.72800064086914,260.5899963378906,228.92999267578125,17.433839797973633,4.809999942779541
2020-07-10,1.0850000381469727,153.0500030517578,33.515655517578125,11.290759086608887,32.43000030517578,27.492000579833984,261.2300109863281,223.75999450683594,18.26474952697754,4.730000019073486
2020-07-13,1.065000057220459,149.05999755859375,32.566001892089844,11.616798400878906,29.5,25.309999465942383,258.42999267578125,210.8000030517578,17.733888626098633,4.579999923706055
2020-07-14,1.0199999809265137,150.36000061035156,32.71726989746094,11.808164596557617,30.21500015258789,27.190000534057617,267.2200012207031,220.2100067138672,17.749277114868164,4.579999923706055
2020-07-15,1.0475000143051147,154.2100067138672,34.12916564941406,12.786272048950195,32.560001373291016,27.29800033569336,279.8999938964844,217.9199981689453,18.934104919433594,4.710000038146973
2020-07-16,1.0425000190734863,153.30999755859375,34.69223403930664,13.083955764770508,35.63999938964844,27.389999389648438,281.8900146484375,219.85000610351562,19.257240295410156,4.650000095367432
2020-07-17,0.9900000095367432,148.36000061035156,34.45692443847656,13.11230754852295,35.36000061035156,28.219999313354492,285.6300048828125,215.8300018310547,19.01104164123535,4.800000190734863
2020-07-20,0.9624999761581421,150.4600067138672,34.10395050048828,12.956378936767578,35.40999984741211,28.968000411987305,280.2799987792969,229.8800048828125,18.764842987060547,4.989999771118164
2020-07-21,1.002500057220459,153.36000061035156,36.1125373840332,13.374553680419922,37.54999923706055,29.006000518798828,281.1300048828125,225.64999389648438,19.534212112426758,4.849999904632568
2020-07-22,1.027500033378601,152.1699981689453,37.3143310546875,13.757293701171875,37.75,29.83799934387207,285.0299987792969,226.0,18.941795349121094,4.789999961853027
2020-07-23,1.027500033378601,150.16000366210938,37.12944412231445,13.721854209899902,36.209999084472656,29.59000015258789,282.92999267578125,218.0,19.30339813232422,4.739999771118164
2020-07-24,1.0075000524520874,151.1699981689453,37.48240661621094,13.601361274719238,37.54999923706055,29.672000885009766,284.6499938964844,222.7899932861328,19.218765258789062,4.650000095367432
2020-07-27,1.002500057220459,155.97000122070312,38.692604064941406,13.580095291137695,35.1150016784668,30.166000366210938,291.8599853515625,231.41000366210938,18.38785171508789,4.690000057220459
2020-07-28,0.9850000143051147,148.75,37.94462966918945,13.551746368408203,34.630001068115234,30.275999069213867,278.80999755859375,227.0,18.79561996459961,4.659999847412109
2020-07-29,1.0149999856948853,151.57000732421875,39.331329345703125,18.343050003051758,35.88999938964844,31.091999053955078,285.3599853515625,241.85000610351562,19.18799591064453,4.869999885559082
2020-07-30,1.024999976158142,150.35000610351562,38.86907958984375,17.393295288085938,34.790000915527344,31.173999786376953,289.70001220703125,255.9199981689453,18.441707611083984,4.739999771118164
2020-07-31,1.002500057220459,154.88999938964844,38.33962631225586,17.301158905029297,33.375,30.989999771118164,287.42999267578125,266.0899963378906,18.118576049804688,4.739999771118164
2020-08-03,1.037500023841858,161.82000732421875,37.558040618896484,17.279895782470703,32.95000076293945,31.898000717163086,293.8900146484375,287.2799987792969,19.064895629882812,4.739999771118164
2020-08-04,1.1074999570846558,166.44000244140625,38.6841926574707,17.683895111083984,33.060001373291016,33.3380012512207,294.1199951171875,290.8500061035156,19.865036010742188,4.75
2020-08-05,1.1575000286102295,165.4199981689453,39.339717864990234,18.087902069091797,32.54999923706055,34.82400131225586,300.7799987792969,301.3999938964844,20.403593063354492,4.840000152587891
2020-08-06,1.1074999570846558,153.8699951171875,38.398468017578125,17.90361213684082,33.650001525878906,44.597999572753906,302.29998779296875,312.70001220703125,20.12662124633789,4.960000038146973
2020-08-07,1.0399999618530273,156.38999938964844,38.49089431762695,18.456457138061523,34.09000015258789,38.400001525878906,311.3299865722656,309.67999267578125,21.434541702270508,4.840000152587891
