ticker,initial_price,initial_weight,initial_allocation,shares
GME,28.639999389648438,0.1,1000000.0,34916.20186142313
ROKU,68.0,0.1,1000000.0,14705.882352941177
DKS,96.77374267578125,0.1,1000000.0,10333.381476732548
BBWI,33.40326690673828,0.1,1000000.0,29937.19155650236
DKNG,16.059999465942383,0.1,1000000.0,62266.502693268994
CVNA,6.5980000495910645,0.1,1000000.0,151561.07797573882
RH,255.91000366210938,0.1,1000000.0,3907.623718064376
W,52.709999084472656,0.1,1000000.0,18971.732448665145
DDS,240.4521026611328,0.1,1000000.0,4158.832419982169
BB,5.940000057220459,0.1,1000000.0,168350.16672843875
