date,portfolio_value,portfolio_loss,method,var_dollar
2025-03-06,17185774.994112987,1328500.1783576012,Historical VaR — 500-day,892488.9864704744
2025-03-10,16061866.421539605,1056390.7810176723,Historical VaR — 500-day,892488.9864704744
2025-04-03,14657688.769302184,2839984.9476682376,Historical VaR — 500-day,892488.9864704744
2025-04-10,15728246.400017586,1017456.0329082534,Historical VaR — 500-day,892488.9864704744
2025-06-12,20418963.4458099,950575.5257497951,Historical VaR — 500-day,892488.9864704744
2025-08-01,23203829.978793193,1085369.1703930423,Historical VaR — 500-day,892488.9864704744
2025-10-10,22195320.20457371,1602848.635426484,Historical VaR — 500-day,892488.9864704744
2025-10-30,22118414.079119585,1721639.451370947,Historical VaR — 500-day,892488.9864704744
2025-11-04,22052746.947212912,1029852.4045795463,Historical VaR — 500-day,892488.9864704744
2026-01-28,25342080.673135854,2229785.4742146395,Historical VaR — 500-day,892488.9864704744
2026-01-30,24666289.480725847,1111824.1193123013,Historical VaR — 500-day,892488.9864704744
2026-02-11,23262704.865918003,953907.1753008477,Historical VaR — 500-day,892488.9864704744
2026-02-12,22338225.668833144,924479.197084859,Historical VaR — 500-day,892488.9864704744
2026-02-19,22053635.032923505,1192362.4596549347,Historical VaR — 500-day,892488.9864704744
2026-06-17,22753325.499686144,1359785.6683015414,Historical VaR — 500-day,892488.9864704744
