,count,mean,std,min,25%,50%,75%,max
portfolio_volatility,981.0,0.02686215657007622,0.006342825893860915,0.016336247242679406,0.023125696326769925,0.025028412463187922,0.029243945092676887,0.04606305111416468
parametric_var_return,981.0,0.044184315662028184,0.010433020176638838,0.026870735527897205,0.038038385478865844,0.04116807501691208,0.048102009152059276,0.07576697669358481
parametric_var_dollar,981.0,702578.3237574176,275638.7632607623,319555.58545357414,500624.8636866218,626035.5688446036,842620.8758170891,1536118.6672305753
