,count,mean,std,min,25%,50%,75%,max
marginal_var_GME,981.0,-0.007921727299969749,0.0338943007427045,-0.16878934058823306,-0.030065834434600536,-0.011466247208977154,0.014707452678484195,0.17584296878458971
marginal_var_DKS,981.0,-0.02453693239408975,0.016392448542637404,-0.0700629165083802,-0.03825067213437047,-0.021068960189143254,-0.014875675575166947,0.030371572283758447
var_change_1pct_dollar_GME,981.0,-2194.6990575658033,6285.472424371071,-38471.480102149326,-6318.591250721084,-1543.5029010741719,1705.5629995656316,43317.083807759336
var_change_1pct_dollar_DKS,981.0,-4122.104844147679,3497.3698577942946,-15600.606807237893,-5696.927038084184,-3237.5252115157878,-1844.2104681386668,5307.404213932184
