,count,mean,std,min,25%,50%,75%,max
historical_var_return_100,981.0,0.03981900912238435,0.011100218054124042,0.016589055386975488,0.0328377405229816,0.036931334407758414,0.04659079097665617,0.07272898688739454
bootstrap_ci_lower_return_100,981.0,0.028810407922563067,0.009580361425138047,0.013268750731406834,0.02388653300872919,0.02675642874987649,0.03168442557591205,0.061743365936443494
bootstrap_ci_upper_return_100,981.0,0.04841987563873799,0.012107482539846871,0.02341484055797589,0.04116681757750145,0.04497392894849508,0.05283257967776698,0.09174620339684153
historical_var_dollar_100,981.0,634923.5458045893,271717.2138658826,269802.100875443,439884.73785899766,528753.5189053764,824852.7643858462,1460476.1561463168
bootstrap_ci_lower_dollar_100,981.0,450502.8057321711,193871.86946345202,212523.81468898876,320242.1404995875,368417.7960010766,565462.028833426,1093578.501273231
bootstrap_ci_upper_dollar_100,981.0,786566.3198037787,353443.4844833519,322275.8690327807,503117.35186228115,635069.5103808286,1001860.8388788444,1779601.3396516473
