date,alpha_hat,beta_hat,alpha_se,beta_se,r_squared,residual_std
2022-09-01,-0.0007183296239223107,2.12550126946335,0.0030082894435579724,0.1855056158503278,0.5725806785710214,0.03001407136328037
2022-09-02,-0.0008586510323526008,2.1230634736633327,0.003011282788893007,0.18568068148442576,0.5715569674131851,0.030051060573899804
2022-09-06,-0.0011946512282627513,2.1475071490228848,0.002977373325044877,0.1842246230167217,0.5809919833957535,0.02971975700388876
2022-09-07,-0.0012266076927885355,2.147880842771224,0.0029786665656098537,0.18430285148040504,0.5808699912410455,0.029732591569275282
2022-09-08,-0.0014320629619460666,2.1376875573164966,0.002973771167560974,0.18332896598804896,0.581133456036885,0.029691055204477564
2022-09-09,-0.0013415120888222462,2.1398383102941922,0.002973246604213405,0.1836891077420839,0.5806675203905296,0.029703166383218228
2022-09-12,-0.0008455039620889175,2.1511147535726374,0.00295823068511743,0.18192599329244905,0.5879059840477483,0.029564306543497374
2022-09-13,-0.000920286837221001,2.143907420286428,0.0029545000249710674,0.1821970860260601,0.5855563055395353,0.029523319496914696
2022-09-14,-0.0002247808396854149,2.1011802704770774,0.00293459913880193,0.174796565879783,0.5958724013341072,0.029288702688129616
2022-09-15,-2.2211090782008926e-05,2.0895923036011643,0.0029237787757505182,0.1748015003305922,0.5931925178963119,0.02919904058498855
2022-09-16,0.00012729248628768784,2.09610397593528,0.002936576759212329,0.17755796748262798,0.5871290474666319,0.02933945480875992
2022-09-19,-3.541860932374614e-05,2.1000361921032322,0.0029421876880063717,0.1778173129860198,0.5873300614034702,0.0293844568554982
2022-09-20,4.203816629251068e-05,2.096935513177487,0.002939618081103912,0.18024345480766385,0.5800260061538651,0.02938412297459756
2022-09-21,8.24989209345416e-05,2.1090101318154466,0.00293769701716328,0.17970774817931087,0.5842674438394238,0.02935651097964951
2022-09-22,0.0004407283217388225,2.115881018791496,0.0029412154896191266,0.18105719997116868,0.5822117867291047,0.029352163781537863
2022-09-23,-0.0002261792368789214,2.176518791927636,0.0029398579670025155,0.18558510075338172,0.5839401632741379,0.029365482963389786
2022-09-26,-0.00046058416707107095,2.1559404755632503,0.002921690369516503,0.18354622662288292,0.5846918212761164,0.029161571029830458
2022-09-27,-0.0004573388693535072,2.161869932826012,0.0029235400294705793,0.1833845382971497,0.5864525963373753,0.029162650197325838
2022-09-28,0.0002515170839387077,2.202746070535693,0.0029280173637379462,0.18708602027281201,0.585845168960885,0.029153536177734845
2022-09-29,0.0004032300806419949,2.162227182936771,0.002909810097702342,0.18933979508488097,0.5709514629100862,0.029047957195272926
2022-09-30,0.0005563340368106538,2.168944527323679,0.002899652692654923,0.18709836448990114,0.5782894657233402,0.028929770002892815
2022-10-03,0.0007277629055072168,2.149708087168725,0.0028970665948488965,0.1900672029543244,0.5662216155127064,0.028921737006134245
2022-10-04,0.0007679316949157095,2.1253669837756943,0.0028889814573018683,0.1867767693074057,0.5692038783279791,0.028864717514006436
2022-10-05,0.0011289655608293092,2.086506730273155,0.002851095279991341,0.1816597874420055,0.5737711700105983,0.028509162918559035
2022-10-06,9.861944034639681e-05,2.09116738856251,0.0027328958414093527,0.1741133064437092,0.5954580423456508,0.027326983277891962
2022-10-07,4.588106123171003e-05,2.078759268620753,0.0027328804447372917,0.17577973372460623,0.5879802571190316,0.027312863863439923
2022-10-10,0.000608841198359971,2.039808636205494,0.0027394210368615144,0.1734884480192639,0.5851698637684655,0.02736167879573994
2022-10-11,0.00034205500422813603,2.0395644748829262,0.0027490701091979677,0.17538747668007063,0.5798165372627309,0.027428789207198993
2022-10-12,0.00048795935447985134,2.014930329075364,0.00274209363421911,0.18087383886499486,0.5587554852415229,0.0273907145996715
2022-10-13,0.00038479407717225854,2.018885546542699,0.0027351238977703606,0.18051870754787797,0.5606906635265676,0.02732340976964542
