date,previous_date,portfolio_value,base_var_return,base_var_dollar,marginal_var_GME,marginal_var_dollar_GME,var_change_1pct_GME,var_change_1pct_dollar_GME,marginal_var_DKS,marginal_var_dollar_DKS,var_change_1pct_DKS,var_change_1pct_dollar_DKS
2022-09-01,2022-08-31,10000000.0,0.07139069197561183,713906.9197561183,-0.025745144988954805,-257451.44988954804,-0.00025745144988954805,-2574.5144988954803,-0.033412779089689315,-334127.79089689313,-0.00033412779089689315,-3341.2779089689316
2022-09-02,2022-09-01,9910863.084908051,0.07133636304582361,707004.9271224521,-0.04539873080118273,-449940.60519912007,-0.0004539873080118273,-4499.4060519912,-0.03347194112670315,-331735.8256928579,-0.00033471941126703153,-3317.358256928579
2022-09-06,2022-09-02,9765568.814044613,0.07105203561012607,693863.5431286346,-0.04510787354468221,-440504.0431558166,-0.0004510787354468221,-4405.040431558166,-0.03319106060937216,-324129.5863919493,-0.0003319106060937216,-3241.2958639194935
2022-09-07,2022-09-06,9545855.815239774,0.07153401911717677,682853.4323771751,-0.04534713876852142,-432877.2483179752,-0.0004534713876852142,-4328.772483179752,-0.033728177919835345,-321964.323333502,-0.00033728177919835345,-3219.64323333502
2022-09-08,2022-09-07,9866089.355528995,0.07197083927021466,710070.7312323531,-0.0454836977372447,-448746.22609552817,-0.000454836977372447,-4487.462260955282,-0.03429026078280023,-338310.7769074987,-0.0003429026078280023,-3383.107769074987
2022-09-09,2022-09-08,10073299.088432483,0.07177139546905346,722974.7325539435,-0.04548716966107369,-458205.8646822673,-0.0004548716966107369,-4582.058646822673,-0.034069979836882924,-343197.0968337858,-0.00034069979836882924,-3431.9709683378587
2022-09-12,2022-09-09,10561095.858705463,0.0717930418892424,758213.1973803458,-0.045816933807911464,-483877.02989731607,-0.00045816933807911464,-4838.770298973161,-0.03401914357293728,-359279.4363048545,-0.0003401914357293728,-3592.794363048545
2022-09-13,2022-09-12,10936069.526943505,0.07272898688739454,795369.2572247091,-0.04673521192133795,-511099.5269281907,-0.0004673521192133795,-5110.995269281908,-0.03496527880144512,-382382.7200015677,-0.0003496527880144512,-3823.827200015677
2022-09-14,2022-09-13,10219278.640886892,0.07214715673296919,737291.8978019509,-0.04618510812897936,-471978.4890295303,-0.0004618510812897936,-4719.784890295303,-0.034453283100149834,-352087.7000937905,-0.00034453283100149834,-3520.877000937905
2022-09-15,2022-09-14,10285957.397098104,0.07233502550569652,744034.9906695992,-0.04640984536166959,-477369.69219604443,-0.0004640984536166959,-4773.696921960444,-0.034664914608718844,-356561.8348393257,-0.00034664914608718844,-3565.6183483932573
2022-09-16,2022-09-15,10403226.93156138,0.07252157830624281,754458.4365548427,-0.046643662293932575,-485244.6037628935,-0.00046643662293932575,-4852.446037628934,-0.034815234964376274,-362190.79001003667,-0.00034815234964376274,-3621.9079001003665
2022-09-19,2022-09-16,10069695.93734168,0.07177299377622563,722732.223839309,-0.04598263498675065,-463031.15271434846,-0.0004598263498675065,-4630.311527143484,-0.034014689874871384,-342517.5844429296,-0.00034014689874871384,-3425.175844429296
2022-09-20,2022-09-19,10272395.238878025,0.07163721127886008,735885.7480674614,-0.04578755779971605,-470347.89074165554,-0.0004578755779971605,-4703.478907416556,-0.03386903623656956,-347916.12658192444,-0.0003386903623656956,-3479.1612658192444
2022-09-21,2022-09-20,9802091.920171957,0.07121846416800784,698089.9321882857,-0.045306242944136155,-444095.95789606473,-0.00045306242944136155,-4440.959578960647,-0.03350190453871027,-328388.7477892642,-0.0003350190453871027,-3283.8874778926415
2022-09-22,2022-09-21,9612777.29183756,0.07117579908707586,684197.1051926353,-0.04523195826192927,-434804.74124561803,-0.0004523195826192927,-4348.047412456181,-0.03341606869664837,-321221.2263496254,-0.0003341606869664837,-3212.212263496254
2022-09-23,2022-09-22,9088915.013723046,0.07064230393409185,642061.896830554,-0.044508871779906645,-404537.3529642675,-0.00044508871779906645,-4045.373529642675,-0.032972310991806475,-299682.53241057525,-0.00032972310991806475,-2996.8253241057528
2022-09-26,2022-09-23,8902873.753148405,0.07034058290770412,626233.3293501583,-0.04433797257621663,-394735.3723166128,-0.00044337972576216633,-3947.3537231661285,-0.03263734510883798,-290566.1631419201,-0.0003263734510883798,-2905.661631419201
2022-09-27,2022-09-26,8615478.021966236,0.07010802350712307,604014.1356891111,-0.04412933474536446,-380195.31362267846,-0.00044129334745364457,-3801.9531362267844,-0.03242184940424192,-279329.73097374535,-0.0003242184940424192,-2793.2973097374534
2022-09-28,2022-09-27,8845779.858522119,0.06998743503626426,619093.4431934116,-0.04418824775791336,-390879.51200033515,-0.00044188247757913357,-3908.7951200033517,-0.0325047538896589,-287529.8972633632,-0.000325047538896589,-2875.298972633632
2022-09-29,2022-09-28,9183085.897106625,0.06791648075003054,623682.8765567191,0.0027224257001134955,25000.26905263287,2.7224257001134955e-05,250.0026905263287,-0.017059220402579345,-156656.28629455998,-0.00017059220402579345,-1566.5628629455998
2022-09-30,2022-09-29,8628969.85637097,0.0667566794850353,576041.374987788,0.004012952292350991,34627.64436575149,4.012952292350991e-05,346.27644365751485,-0.01580516758305922,-136382.31464910964,-0.0001580516758305922,-1363.8231464910964
2022-10-03,2022-09-30,8418017.28615826,0.06606146150659976,556106.5249114353,0.005482288984984263,46150.00344331255,5.4822889849842626e-05,461.50003443312545,-0.034121633644312865,-287236.501849785,-0.00034121633644312865,-2872.3650184978496
